name,abv,desc,style_name
Avalanche Ale,4.4,"Subtlety. That's what makes our Avalanche amber ale such a treat. We blend pale and caramel malts – and just a kiss of bittering hops – to create a refreshing-but-flavorful, any-time beer. Aromas of pale grains, a semi-sweet middle and a clean-as-Colorado-snow finish.

Yeast: Top Fermenting Ale Yeast
Malts: Two Row Pale, Munich, Roasted Barley, Chocolate
Hops: Willamette, Chinook, Tettnang, Hallertau",Amber
BFD - Beer For Drinking,4.8,"There are days when you want a beer—just a beer—that hits all the right spots. Well, this is it. No snifters required, no special occasions—just an unfussy, uncomplicated, hoppy blonde ale brewed to fit in no matter where it goes. This isn’t beer for collecting, this is beer for drinking.

YEAST  Ale yeast
BITTERING HOPS  Simcoe
FINISHING HOPS  Polaris, Comet
MALTS  Two-row Pale, Acidulated, Munich, Pilsner",Blonde
Bad Luck Blonde,6.5,Ale Brewed with Coriander,Blonde
Baltic Anomaly,8.5,"Much like the alien mystery found at the bottom of the Baltic Sea, this Baltic Porter boasts an anomaly of its own. Honey lends an extraterrestrial dimension to this earthly porter, balancing out the sweetness with a slightly dry finish.",Baltic Porter
Baltic Joy,7.4,"This beer is a real treat! A rich, chocolaty Baltic porter with an addition of toasted coconut and toasted almonds. The aroma is layered with a mild malty sweetness and slight hints of coconut. The flavor, however, is something truly special—toasted malt and caramel flavors, coconut, chocolate and a touch of almond all shine in this complex brew. It has hints of sweetness, but remains drinkable with a clean and refined finish.",Baltic Porter
Bamberg Helles,5.2,Golden German Lager with a touch of beech wood smoked malt. Brewed to pay homage to one of our favorite beers in Bamberg.,Helles Rauchbier
Barrel Aged 471 IPA. Aggressive Hoppiness,9.2,"Hoppy? Brother, 471 IPA redefines hoppy. 471 is a small batch, limited edition ale that was created by our Brewmaster to separate the weak from the strong. 471 is a double IPA, that combines Pale, Munich, Caramel-30, Carapils and Torrified Wheat malts, with Chinook, Centennial, Simcoe and Fuggles hops. It has a big sweet mouthfeel, followed by more hoppiness than you've ever had at one time. Enjoy.",Imperial IPA
Barrel Aged Imperial Cherry Stout,9.5,Aged in 50% Whiskey & 50% port wine barrels,American Imperial Stout
Barrel Aged Narwhal,12.9,"Barrel-Aged Narwhal is our deliciously dark Imperial Stout aged in Kentucky bourbon barrels. Barrel aging is a strange science; it mellows some characteristics of the original beer while intensifying others. Narwhal’s aggressive roastiness has calmed, but the rich, chocolate-like malt backbone is brought to the fore. Black as midnight, this intense stout is complex with notes of cocoa and espresso balanced with hints of vanilla and toasted coconut from the oak casks. Nearly as rare as it’s nautical namesake, try Barrel-Aged Narwhal while you can because like the creature itself, it will soon dive into the depths and leave nary a trace behind.",American Imperial Stout
Barrel Aged Twenty Five,9.8,Imperial Vanilla Porter Aged In Rum Barrels.,American Imperial Porter
Barrel-Aged Porter,7.4,A porter aged in bourbon barrels with vanilla beans & Cocoa nibs added,BBL Aged
Beach Bum Blonde Ale,5.4,"Beach Bum Blonde Ale is a traditional American 
blonde ale with a slightly spicy hop note and balanced malty flavor.",Belgian Blonde
Bearsharktopus,6.0,Hoppy brett ale with fruit,Belgian Pale
Beer Camp 013: Old Cantankerous,6.6,"Sierra Nevada Old Cantankerous (Stock Ale) is a collaboration beer brewed on 9/04/09 at Sierra Nevada’s R&D Pilot Brewery for Beer Camp #13. Beer Camps #13 & #14 consisted of the gold medal winning homebrewers from the 2009 American Homebrewers Association (AHA) National Homebrew Competition (NHC). Old Cantankerous was brewed with a combination of seven different domestic & continental malts including two types of Caramel, Chocolate, Pale, Pils, Munich & Vienna for a rich complexity with five different hops being used for balance & character including Magnum, Perle, Sterling & the New Zealand hops Pacifica & Southern Cross which were used in the hopback for additional aroma & complexity. The famous house ale yeast was used to top ferment & condition this American Strong Ale/Stock Ale for approx. 8-10 weeks. Like previous camp beers, Old Cantankerous is only available in select markets and at the brewery’s taproom & restaraunt until it’s history!",Old Ale
Beer Camp Golden IPA,6.5,"Citrus-heavy hops in a dry, yet assertive IPA. 

At Beer Camp, no beer style is off limits, so we jumped at the idea of doing a Golden IPA using wheat malt for a light, dry body and bold American and experimental hops for intense citrus flavor. The perfect spring seasonal, we invite you to enjoy this year’s Beer Camp encore.",American IPA
Beer Camp Hoppy Lager,7.0,"Beer Camp is the ultimate brewing experience. We bring beer fans into our brewery nearly every week to create their own beer with us—the more daring the better—and each spring we’ll highlight one of the small-batch standouts. Last year, Beer Camp worked overtime. Along with our fan brews, we made 12 additional beers with 12 exceptional breweries. Choosing one for an encore wasn’t easy. Ever drawn to hops, we decided to reimagine our hoppy lager collaboration with Ballast Point.",American Lager
Beer Camp Tropical IPA,6.7,"Fruit-forward hops take this IPA to the tropics.

Beer Camp is the ultimate brewing experience. We invite beer fans into our brewery nearly every week to design their own beer and then we bring it to life. Each spring, we’ll feature one of our favorite collaborations from the previous year. This year’s selection features intensely aromatic hop varietals rich with the flavors of the tropics. We use Citra, Mosaic and El Dorado hops to create bright fruit-forward flavors of mango, papaya and bitter orange.",American IPA
Beer Camp: Atlantic-Style Vintage Ale,8.5,"We're calling our Beer Camp collaboration an ""Atlantic Vintage Ale"" which combines elements from Fuller' robust Vintage Ales with some American-style hopping techniques. We used plums in the brew to complement Fuller's naturally fruity yeast strain and we're bottle conditioning the beer for added longevity. This bee should age well in the bottle for years to come. Drink it now or stash some away to revisit in the future.",English Pale
Beer Camp: Campout Porter,7.7,We're playing off the camping theme of Beer Camp with a beer we're calling Campout Porter that evokes the flavors of marshmallows toasted over an open fire. The beer features special ingredients such as malt smoked over manuka wood (a tree native to New Zealand) and manuka honey. Additionally it contains beechwood honey from California and Tahitian vanilla beans to reflect the sweet and roasted notes we were looking for in this collaboration.,Brown Porter
Beer Camp: Dry Hopped Belgian Golden,8.0,"We're combining elements of Duvel's classic golden ale with Sierra Nevada's hop-forward fanaticism to create a new beer that highlights both. The complex fruity nature of Duvel's signature yeast is the first thing that greets you, followed shortly but a blast of bright, citrusy hops. The beer also has a touch of lemon peel for a po that greets the palate right at the finish of this deceptively drinkable and complex beer.",Blonde
Beer Camp: Dry-Hopped Barleywine-Style Ale,9.4,"We're brewing a Dry-Hopped Barleywine Style Ale. Avery's founder, Adam Avery, was eager to brew this style and us this story: Sierra Nevada Bigfoot Barleywine inspired him to try his hand at the style, leading to the creation of Hog Heaven, an Avery brewing classic. The idea behind this beer for Beer Camp Across the World is actually not to ""collaborate"" at all, but, rather, to brew the exact recipe for Sierra Nevada's Bigfoot and the exact recipe of for Avery's Hog Heaven and blend the two distinct finished beers together, and then bottle condition a new version of these two classic beers. The resulting brew is lovingly dubbed ""Big Hog"" or ""HogFoot"" depending on the brewer's preference. It's big, intense, and hoppy. Great fresh or the perfect candidate for aging down the line.",American Barleywine
Beer Camp: Dry-Hopped Berliner-Style Weisse,4.2,"We wanted to make a beer that was a bit outside of both breweries' normal wheelhouses, so together we chose to create a twist on the classic, tart, Berliner Weisse. We're playing off the slightly sour twang of the base beer by adding heaps of dry-hopped flavor to complement the tartness with citrusy and fruit-forward hop notes. The primary yeast strain is Sierra Nevada's famous Kellerweis wheat beer yeast, which imparts notes of banana and clove, blending seamlessly with the hops to create a dry, white-wine-like flavor that is as crisp and refreshing as anything we've tried.",Berlinerweisse
Beer Camp: Dunkle Weisse,5.7,"We are brewing a classic Bavarian-Style Dunkle Weisse (Dark Wheat) beer. Ayinger's wheat beers are among the best produced anywhere in the world. We decided to bring together our two approaches to the style and create an all-new, rich, and malty version of the style. It's brewed in our open fermenter to allow the authentic Bavarian yeast strain to shine, with complex aromas of banana bread, caramel malt and cloves.",Dunkelweizen
Beer Camp: East Meets West IPA,7.0,"An IPA, of course. We're blending our two approaches to the IPA in this East Meets West IPA. Sierra Nevada's malt body and profile was blended with the heavy-handed, very late hopping schedule employed by Tree House to create a new, hybrid IPA. Lightly bitter and heavy with citrus-like hop flavor.",American IPA
Beer Camp: Ginger Lager,6.2,"Together, we're brewing a lager infused with hot ginger and a touch of cayenne (which emphasizes the ginger heat) before fermenting on a blend of oak honeycombs and hops. This may seem like an odd concept -and let's be honest, it IS an odd concept- but the finished beer more than makes up for the seemingly strange combination of flavors. The ginger is bright and crisp, the cayenne falls just below the heat threshold, and the oak adds a delicate roundness to the finish. This ultra-crisp lager is very balanced and incredibly drinkable and will be on of the sleeper hits of the Beer Camp pack.",American Lager
Beer Camp: Raspberry Sundae Ale,8.0,"Together we're brewing a riff on the flavors of the classic raspberry ice cream sundae. This beer features raspberry, cocoa and vanilla, in addition to lactose (an unfermentable sugar) that adds a richness and a sweetness, helping to blend and meld the flavors of this ultra-complex beer together. It's been a true pleasure to work with the artists at The Bruery using ingredients and techniques outside of our normal wheelhouse.",Spice Beer
Beer Camp: Thai-Style Iced Tea,7.2,"Mikkeller has opened several world-class craft beer bars all over the world, most recently in Asia. We wanted to apply this globetrotting take to our collaboration brew. We found inspiration in a classic Thai iced tea: the spiced tea and condensed milk classic ubiquitous in Thai restaurants. The result is a spiced amber ale, brewed with black tea, sweet orange peel, tamarind and star anise with lactose added for a full and creamy mouthfeel.",Spice Beer
Beer Camp: West Coast DIPA,8.2,"It was a given that when Sierra Nevada and Boneyard join forces to make a beer,  you're gonna get some type of an IPA. Together we're brewing an intense West Coast-Style Double IPA heavy with the classic hop character that defines both of our beers. It features Mosaic, Simcoe, Centennial and Citra hops in ridiculous amounts, sure to please the hopheads within us all.",Imperial IPA
Beer Camp: White IPA with Yuzu,7.0,"Hitachino Nest's most popular beer is their White Ale, so it was a natural starting point for this collaboration. We opted to add hops (as we are known to do) and made a white IPA based on the flavor profile of the White Beer. Kiuchi suggested incorporating the use yuzu (a small Asian citrus fruit) into the brew, and we found the bright lime-like tartness perfectly accentuated the flavors of hops and the spicy notes of the classic witbier yeast.",American IPA
Beer Like A Billy Goat,6.5,Distinct hop characteristics make this strong lager drier and less sweet than a traditional bock. Smooth malt flavors are nicely balanced by German hops.,Maibock
Beerhive,8.47,"Little John's local bees create a wildflower-honey which lends a sweet, earthy complexity to this traditional style beer.  A snap of ginger provides a a refreshing finish.",Belgian Tripel
Beerito,4.0,"Beerito is a light bodied, amber Mexican lager brewed with premium German and coloRADo sourced craft malts and featuring a crisp accent from noble hops. The mouth feel is incredibly smooth with flavors of walnut, toasted bread, plum, honey and cocoa - 4% ABV doesn't always come with this kind of character",Vienna Lager
Belgian Blond,6.7,"Golden Ale brewed with Belgian malts, candi sugar and Czech Saaz hops. This refreshing beer has a dry finish alongside fruity and spicy esters derived from the yeast.",Belgian Pale Strong
Belgian Crush,5.7,Balanced Amber Belgian Pale Ale,Belgian Pale
Bella Czech Pils,5.3,A traditional Czech Pils brewed with all German & Czech hops. The combination of European hops & malts create a noble hop flavor with a spiciness of Czech Saaz.,International Pilsener
Bernie Weisse,3.2,"A slightly sour and forward-thinking ale.This beer gets it unique character from Lactobacillus. Served straight-up, or with your choice of raspberry, blueberry, or woodruff syrup. Tart, crisp, and refreshing. For an inside look at our Bernie Weisse canning run, check out Short-Fills NO. 9",Berlinerweisse
Bigfoot Barrel-Aged,12.2,"Our Bigfoot Barleywine is a craft beer legend. Each winter, this beast of a beer appears and wreaks havoc on unsuspecting palates with its intense bittersweet flavors. This year—in honor of the 30th Anniversary of this style-bending brew— we’re releasing a very special version of this cult classic: Aged in oak whiskey casks for nearly two years, this barrel-aged Bigfoot is incredibly complex. The assault of resinous hops has mellowed, and the influence of the wood has shifted focus toward the malt—with rich burnt-sugar flavors and notes of vanilla, toasted coconut, and raisins. Grab this elusive beast while you can, because it won’t be around for long.",American Barleywine
Bing Bing,6.8,"Brewed with pilsner malt, oats, and American Wheat. A fine blend of American-grown hops create an exceptionally smooth and tropical delight.",American IPA
Black Brew Bae,6.4,Dark hop forward beer with supportive malts,Black Ale
Black Cat Porter,5.2,Avail normal or Cask w/ Chipotle peppers,Brown Porter
Black IPA,6.5,"This IPA has the deep black color of a Stout, but the color leads your mind to expect a roasty acrid flavor to come through. Be prepared for this beer to trick your palate with the flavor and aromatics of a big hop bomb.  Greg Noonan would be pleased.  Cheers to Greg!",American IPA
Black Mad Hatter India Pale Ale,5.56,"A blackened version of Mad Hatter brewed with black malt for a dark, roasty sweetness to the base of the flavor profile. Finishes with a strong Centennial hop character from dry hopping.",Black Ale
Black Shack Porter,5.3,"Black, flavor abounding brew with chocolate mocha notes... so tasty!",Robust Porter
Black Tulip,8.8,"Mysterious, alluring and seductive, while tantalizingly elusive.  Ester-laden character reveals and enigmatic dance between Belgian ale yeast and Michigan beet sugar, conjuring hints of bananas before a dry finish.",Belgian Tripel
Blackstrap Fever,6.1,"This is a full-flavored Porter that is packed full of Chocolate Malt, Black Malt, Carmel Malt and lots of gooey Blackstrap Molasses. Columbus hops provide the bittering and Centennial hops give both the flavoring and aroma. We lagered this little monster for a generous amount of time in our 10 BBl fermenter and used our house Lager yeast for an extra twist. 6.1% ABV",Brown Porter
Blizzicane Bock,7.7,"In honor of an epic New England storm, a combination of a blizzard and a hurricane --a blizzicane-- that dumped several feet of snow and shut the coast for days, we bring you Blizzicane Bock, a dopplebock that's rich, thick and sweet with caramel and toffee flavor conceived in the hoary eye of that storm.",Bock
Blue,4.6,"Sweetwater Blue is a unique light bodied ale enhanced with a hint of fresh blueberries. This euphoric experience begins with an appealing blueberry aroma and finishes as a surprisingly thirst-quenching ale.

Award – 1998 World Beer festival Bronze Medal Winner – Fruit beer category",Fruit Beer
Blue Dream,6.4,"Juicy hops & sweet aromas with headline notes of passion fruit, rasberries, pinneapple & citrus.",American IPA
Blue Ridge Red,6.3,A hoppy red ale brewed with local honey.,Irish Red
Blue Sunday,7.0,"This unique anniversary libation, heritage-blended from our library of barrel-soured beers, exhibits deeply layered flavors of malt and oak, with a tart finish.",Sour
Blueberry Ale,4.5,Nice aroma of blueberry is balanced by a subtle flavor that gets fermented into this delicious brew.,Fruit Beer
Bob White,5.0,"Our take on Belgian Wit, brewed with raw wheat and spiced with coriander and bitter and sweet orange peel.",Witbier
Bobolink,6.7,"Brewed with organic pale malt, Jasmine rice, Carafoam malt and Northdown hops.",Saison
Bohemian Dock Street Pilsner,5.0,"Bohemian Dock Street Pilsner is brewed in the style of the original Pilsner beers of Bohemia, in what is now the Czech Republic, in a tradition that dates to 1842. We use costly Bohemian Saaz hops and pale imported malts to produce its rich golden color, and soft malty flavor using traditional techniques of the old world. True Pilsners are the most difficult to brew as there are no dark malts or flavorings used to mask flaws. Pilsner is the best known style of beer in the world. A good pilsner balances hops and malts to a refreshing, clean tasting, every-mood kind of beer. The Bohemian can stand alone or join a party easily.",German Pilsener
Boomerang,6.7,"Boomerang is an American IPA that slings fruit-forward and floral flavors of Australian hops for an assertive, intercontinental escapes from winter’s grasp.",American IPA
